complaint_text,complaint_type,location,priority
general complaint: why do we hav to wake up so early??,General,Main Building,Low
"hostel d room is too cold, no hot water to shower",Water Supply,Hostel D,Medium
"no wifi in auditorium, how r we supposed to take online exams??",IT / Network,Auditorium,High
"lab is so boring, cant we get more interesting experiments??",Laboratory,Laboratory,Low
"library is too crowded, cant we get more space??",Library,Library,Medium
"sports ground is so cool, but cant we get better equipment??",Sports Ground,Sports Ground,Low
"hostel b food is so good, but cant we get more variety??",Mess / Canteen,Hostel B,Low
"wifi in hostel c is so fast, but cant we get more bandwidth??",IT / Network,Hostel C,Low
prof said we need to use online resources but cant access them,IT / Network,Laboratory,High
"hostel a room is too hot, no electricity to use fan",Electricity,Hostel A,Medium
cant find any parking spot in campus,Transport,Campus (General),Low
general complaint: why do we hav to study so much??,General,Main Building,Low
hostel c water supply is not working,Water Supply,Hostel C,High
wifi in hostel d is so slow,IT / Network,Hostel D,Medium
prof said we need to submit assignment online but cant access wifi in lab,IT / Network,Laboratory,High
"hostel b room is too small, cant we get more space??",Civil / Infrastructure,Hostel B,Medium
"no internet in mess, how r we supposed to study??",IT / Network,Mess / Canteen,High
"lab equipment is so outdated, cant we get new ones??",Laboratory,Laboratory,Medium
auditorium ac is not working,General,Auditorium,Low
"sports ground is so dirty, cant we get better facilities??",Sports Ground,Sports Ground,Medium
"library is too quiet, cant we hav a silent room??",Library,Library,Low
"hostel d food is so bad, cant we get better mess??",Mess / Canteen,Hostel D,Medium
why is hostel a so noisy??,Civil / Infrastructure,Hostel A,Medium
"cant find any book in library, is it even stocked??",Library,Library,Medium
transport from campus to city is so unreliable,Transport,Campus (General),High
general complaint: why do we hav to pay so much fees??,General,Main Building,Low
"hostel c room is too cold, no hot water to shower",Water Supply,Hostel C,Medium
"no wifi in auditorium, how r we supposed to take online exams??",IT / Network,Auditorium,High
"lab is so boring, cant we get more interesting experiments??",Laboratory,Laboratory,Low
"library is too crowded, cant we get more space??",Library,Library,Medium
"sports ground is so cool, but cant we get better equipment??",Sports Ground,Sports Ground,Low
"hostel b food is so good, but cant we get more variety??",Mess / Canteen,Hostel B,Low
"wifi in hostel a is so fast, but cant we get more bandwidth??",IT / Network,Hostel A,Low
prof said we need to use online resources but cant access them,IT / Network,Laboratory,High
"hostel d room is too hot, no electricity to use fan",Electricity,Hostel D,Medium
cant find any parking spot in campus,Transport,Campus (General),Low
general complaint: why do we hav to wake up so early??,General,Main Building,Low
hostel a water supply is not working,Water Supply,Hostel A,High
wifi in hostel b is so slow,IT / Network,Hostel B,Medium
"prof said we need to submit assignment in hard copy, but cant find any printer",General,Laboratory,High
"hostel c room is too small, cant we get more space??",Civil / Infrastructure,Hostel C,Medium
"no internet in mess, how r we supposed to study??",IT / Network,Mess / Canteen,High
"lab equipment is so outdated, cant we get new ones??",Laboratory,Laboratory,Medium
auditorium ac is not working,General,Auditorium,Low
"sports ground is so dirty, cant we get better facilities??",Sports Ground,Sports Ground,Medium
"library is too quiet, cant we hav a silent room??",Library,Library,Low
"hostel b food is so bad, cant we get better mess??",Mess / Canteen,Hostel B,Medium
why is hostel d so dirty??,Civil / Infrastructure,Hostel D,Medium
"cant find any book in library, is it even stocked??",Library,Library,Medium
transport from campus to city is so expensive,Transport,Campus (General),High
general complaint: why do we hav to study so much??,General,Main Building,Low
"hostel a room is too cold, no hot water to shower",Water Supply,Hostel A,Medium
"no wifi in auditorium, how r we supposed to take online exams??",IT / Network,Auditorium,High
"lab is so boring, cant we get more interesting experiments??",Laboratory,Laboratory,Low
"library is too crowded, cant we get more space??",Library,Library,Medium
"sports ground is so cool, but cant we get better equipment??",Sports Ground,Sports Ground,Low
"hostel c food is so good, but cant we get more variety??",Mess / Canteen,Hostel C,Low
"wifi in hostel d is so fast, but cant we get more bandwidth??",IT / Network,Hostel D,Low
prof said we need to use online resources but cant access them,IT / Network,Laboratory,High
"hostel b room is too hot, no electricity to use fan",Electricity,Hostel B,Medium
cant find any parking spot in campus,Transport,Campus (General),Low
general complaint: why do we hav to pay so much fees??,General,Main Building,Low
hostel d water supply is not working,Water Supply,Hostel D,High
wifi in hostel a is so slow,IT / Network,Hostel A,Medium
"prof said we need to submit assignment in hard copy, but cant find any printer",General,Laboratory,High
"hostel c room is too small, cant we get more space??",Civil / Infrastructure,Hostel C,Medium
no internet in mess,how r we supposed to study??,IT / Network,Mess / C
"My wifi nt wrking in hostel A, pls fix ASAP",Electricity,Hostel A,High
"Water supply is very low in Hostel B, cant even take a proper bath",Water Supply,Hostel C,Medium
"The food in mess is really bad, taste like cardboard 😝",Mess / Canteen,Mess / Canteen,Low
"Lab equipment is outdated, need new ones",IT / Network,Laboratory,High
"Hostel D is so dirty, need to clean it ASAP",Hostel,Hostel D,Medium
"The prof is nt teaching properly, just giving assignments",General,Main Building,Low
"Library is too noisy, cant study",Library,Library,Medium
"Transport facility is very bad, buses always late",Transport,Campus (General),High
"Civil work is going on in hostel A, its so noisy 🚧",Civil / Infrastructure,Hostel B,Low
Auditorium ac is nt wrking,General,Auditorium,Medium
"The hostel room is too small, need a bigger one",Hostel,Hostel C,Low
Water supply is nt available in sports ground,Water Supply,Sports Ground,High
"Internet speed is very slow in lab, cant do anything",IT / Network,Laboratory,Medium
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"Hostel A is too far from main building, need a shortcut",General,Hostel A,Medium
"The library books are too old, need new ones",Library,Library,Low
"The wifi password is nt working, pls reset it",Electricity,Main Building,High
"The lab assistant is nt helping, just sitting idle",General,Laboratory,Medium
"The mess food is too oily, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too cold, need a heater",Hostel,Hostel D,Medium
The water supply is nt clean,General,Hostel B,Low
The bus driver is very rude,Transport,Campus (General),High
"The lab equipment is broken, need to repair",IT / Network,Laboratory,Medium
"The library is too hot, need an ac",Library,Library,Low
"The canteen is too crowded, cant even get a seat",Mess / Canteen,Mess / Canteen,Medium
"The hostel A is too noisy, cant study",Hostel,Hostel A,Low
"The sports ground is too dirty, need to clean",General,Sports Ground,Medium
"The auditorium seats are too old, need to replace",Civil / Infrastructure,Auditorium,Low
The wifi is nt available in hostel C,Electricity,Hostel D,High
"The lab is too small, need a bigger one",General,Laboratory,Medium
"The mess food is too spicy, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too hot, need a fan",Hostel,Hostel B,Medium
The water supply is nt available in library,Water Supply,Library,High
The transport facility is very good,Transport,Campus (General),Low
The lab assistant is very helpful,General,Laboratory,Medium
"The canteen food is too salty, cant eat",Mess / Canteen,Mess / Canteen,Low
The hostel A is too clean,General,Hostel A,Low
"The sports ground is too big, need a smaller one",General,Sports Ground,Medium
The auditorium sound system is very bad,Civil / Infrastructure,Auditorium,High
"The wifi password is very difficult, cant remember",Electricity,Main Building,Medium
"The lab equipment is very old, need new ones",IT / Network,Laboratory,Low
"The library books are too few, need more",Library,Library,Medium
"The mess food is too cold, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel C,Medium
The water supply is nt clean,General,Hostel D,High
The bus driver is very nice,Transport,Campus (General),Low
The lab assistant is very lazy,General,Laboratory,Medium
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",General,Hostel A,Medium
"The library is too quiet, cant study",Library,Library,Low
The wifi is nt available in hostel B,Electricity,Hostel C,High
"The lab equipment is broken, need to repair",IT / Network,Laboratory,Medium
"The mess food is too oily, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too cold, need a heater",Hostel,Hostel D,Medium
The water supply is nt available,General,Hostel B,Low
The transport facility is very bad,Transport,Campus (General),High
The lab assistant is very helpful,General,Laboratory,Medium
"The canteen food is too spicy, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel A is too noisy, cant study",Hostel,Hostel A,Low
The sports ground is too dirty,General,Sports Ground,Medium
The auditorium seats are too old,Civil / Infrastructure,Auditorium,Low
The wifi is nt wrking,Electricity,Main Building,High
"The lab equipment is outdated, need new ones",IT / Network,Laboratory,Medium
The library is too hot,Library,Library,Low
"The mess food is too cold, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel C,Medium
The water supply is nt clean,General,Hostel D,High
The bus driver is very rude,Transport,Campus (General),Low
The lab assistant is very lazy,General,Laboratory,Medium
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",General,Hostel A,Medium
"The library is too quiet, cant study",Library,Library,Low
The wifi password is very difficult,Electricity,Hostel B,High
The lab equipment is broken,IT / Network,Laboratory,Medium
The mess food is too oily,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too hot, need a fan",Hostel,Hostel D,Medium
The water supply is nt available,Water Supply,Hostel C,Low
The transport facility is very good,Transport,Campus (General),Medium
The lab assistant is very helpful,General,Laboratory,Low
The canteen food is too spicy,Mess / Canteen,Mess / Canteen,High
The hostel A is too clean,Hostel,Hostel A,Medium
The sports ground is too big,General,Sports Ground,Low
The auditorium sound system is very bad,Civil / Infrastructure,Auditorium,High
The wifi is nt available,Electricity,Hostel D,Medium
The lab equipment is very old,IT / Network,Laboratory,Low
The library books are too few,Library,Library,Medium
The mess food is too cold,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel B,High
The water supply is nt clean,Water Supply,Hostel A,Low
The bus driver is very nice,Transport,Campus (General),Medium
The lab assistant is very lazy,General,Laboratory,High
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",Hostel,Hostel A,Medium
The library is too quiet,Library,Library,Low
The wifi password is very difficult,Electricity,Main Building,High
The lab equipment is broken,IT / Network,Laboratory,Medium
The mess food is too oily,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too cold, need a heater",Hostel,Hostel C,Medium
The water supply is nt available,General,Hostel D,Low
The transport facility is very bad,Transport,Campus (General),High
The lab assistant is very helpful,General,Laboratory,Medium
The canteen food is too spicy,Mess / Canteen,Mess / Canteen,Low
The hostel A is too noisy,Hostel,Hostel A,Low
The sports ground is too dirty,General,Sports Ground,Medium
The auditorium seats are too old,Civil / Infrastructure,Auditorium,Low
The wifi is nt wrking,Electricity,Hostel B,High
The lab equipment is outdated,IT / Network,Laboratory,Medium
The library is too hot,Library,Library,Low
"The mess food is too cold, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel D,Medium
The water supply is nt clean,General,Hostel B,High
The bus driver is very rude,Transport,Campus (General),Low
The lab assistant is very lazy,General,Laboratory,Medium
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",General,Hostel A,Medium
"The library is too quiet, cant study",Library,Library,Low
The wifi password is very difficult,Electricity,Hostel C,High
The lab equipment is broken,IT / Network,Laboratory,Medium
The mess food is too oily,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too hot, need a fan",Hostel,Hostel D,Medium
The water supply is nt available,Water Supply,Hostel A,Low
The transport facility is very good,Transport,Campus (General),Medium
The lab assistant is very helpful,General,Laboratory,Low
The canteen food is too spicy,Mess / Canteen,Mess / Canteen,High
The hostel A is too clean,Hostel,Hostel A,Medium
The sports ground is too big,General,Sports Ground,Low
The auditorium sound system is very bad,Civil / Infrastructure,Auditorium,High
The wifi is nt available,Electricity,Main Building,Medium
The lab equipment is very old,IT / Network,Laboratory,Low
The library books are too few,Library,Library,Medium
The mess food is too cold,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel C,High
The water supply is nt clean,Water Supply,Hostel D,Low
The bus driver is very nice,Transport,Campus (General),Medium
The lab assistant is very lazy,General,Laboratory,High
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",Hostel,Hostel A,Medium
The library is too quiet,Library,Library,Low
The wifi password is very difficult,Electricity,Hostel B,High
The lab equipment is broken,IT / Network,Laboratory,Medium
The mess food is too oily,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too cold, need a heater",Hostel,Hostel D,Medium
The water supply is nt available,General,Hostel C,Low
The transport facility is very bad,Transport,Campus (General),High
The lab assistant is very helpful,General,Laboratory,Medium
The canteen food is too spicy,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too noisy, cant study",Hostel,Hostel A,Low
The sports ground is too dirty,General,Sports Ground,Medium
The auditorium seats are too old,Civil / Infrastructure,Auditorium,Low
The wifi is nt wrking,Electricity,Hostel C,High
The lab equipment is outdated,IT / Network,Laboratory,Medium
The library is too hot,Library,Library,Low
"The mess food is too cold, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel B,Medium
The water supply is nt clean,General,Hostel A,High
The bus driver is very rude,Transport,Campus (General),Low
The lab assistant is very lazy,General,Laboratory,Medium
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",General,Hostel A,Medium
"The library is too quiet, cant study",Library,Library,Low
The wifi password is very difficult,Electricity,Main Building,High
The lab equipment is broken,IT / Network,Laboratory,Medium
The mess food is too oily,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too hot, need a fan",Hostel,Hostel D,Medium
The water supply is nt available,Water Supply,Hostel D,Low
The transport facility is very good,Transport,Campus (General),Medium
The lab assistant is very helpful,General,Laboratory,Low
The canteen food is too spicy,Mess / Canteen,Mess / Canteen,High
The hostel A is too clean,Hostel,Hostel A,Medium
The sports ground is too big,General,Sports Ground,Low
The auditorium sound system is very bad,Civil / Infrastructure,Auditorium,High
The wifi is nt available,Electricity,Hostel B,Medium
The lab equipment is very old,IT / Network,Laboratory,Low
The library books are too few,Library,Library,Medium
The mess food is too cold,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel C,High
The water supply is nt clean,Water Supply,Hostel C,Low
The bus driver is very nice,Transport,Campus (General),Medium
The lab assistant is very lazy,General,Laboratory,High
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",Hostel,Hostel A,Medium
The library is too quiet,Library,Library,Low
The wifi password is very difficult,Electricity,Hostel D,High
The lab equipment is broken,IT / Network,Laboratory,Medium
The mess food is too oily,Mess / Canteen,Mess / Canteen,Low
"The hostel room is too cold, need a heater",Hostel,Hostel B,Medium
The water supply is nt available,General,Hostel A,Low
The transport facility is very bad,Transport,Campus (General),High
The lab assistant is very helpful,General,Laboratory,Medium
The canteen food is too spicy,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too noisy, cant study",Hostel,Hostel A,Low
The sports ground is too dirty,General,Sports Ground,Medium
The auditorium seats are too old,Civil / Infrastructure,Auditorium,Low
The wifi is nt wrking,Electricity,Main Building,High
The lab equipment is outdated,IT / Network,Laboratory,Medium
The library is too hot,Library,Library,Low
"The mess food is too cold, cant eat",Mess / Canteen,Mess / Canteen,Low
"The hostel room is too small, need a bigger one",Hostel,Hostel D,Medium
The water supply is nt clean,General,Hostel B,High
The bus driver is very rude,Transport,Campus (General),Low
The lab assistant is very lazy,General,Laboratory,Medium
The canteen food is too expensive,Mess / Canteen,Mess / Canteen,Low
"The hostel A is too far, need a shortcut",General,Hostel A,Medium
"The library is too quiet, cant study",Library,Library,Low
i cant study in hostel a cuz wifi nt workin,Electricity,Hostel B,Medium
lab equipment in hostel d is broken 🤦,IT / Network,Laboratory,High
the food in mess / canteen is so bad 🤢,Mess / Canteen,Main Building,Low
hostel c rooms r too hot in summer,Hostel,Hostel A,Medium
prof nt respondin to emails 📧,General,Auditorium,Low
wifi in library is slow 📚,IT / Network,Library,Medium
hostel b bathroom is dirty 🚽,Hostel,Hostel B,High
need more plug points in lab 📈,Civil / Infrastructure,Laboratory,Low
hostel a water supply is low 💧,Water Supply,Hostel C,Medium
transport from campus to town is bad 🚌,Transport,Campus (General),High
hostel d rooms r too small 🤯,Hostel,Hostel D,Low
library opens late 🕰️,Library,Library,Medium
wifi in hostel c is nt stable 📊,IT / Network,Hostel A,High
canteen food is expensive 🍔,Mess / Canteen,Mess / Canteen,Low
lab assistant nt helpful 🤷,General,Laboratory,Medium
hostel b lift is broken 🚨,Civil / Infrastructure,Hostel B,High
campus is nt clean 🌳,General,Campus (General),Low
sports ground is well maintained 🏋️,General,Sports Ground,Medium
auditorium ac is nt workin 🎤,Civil / Infrastructure,Auditorium,High
hostel a bathroom is clean 🚿,Hostel,Hostel A,Low
library books r nt available 📖,Library,Library,Medium
wifi in main building is fast 📈,IT / Network,Main Building,Medium
hostel c rooms r too cold in winter ❄️,Hostel,Hostel C,Low
prof is nt teachin well 📚,General,Main Building,High
mess / canteen is crowded 🤯,Mess / Canteen,Mess / Canteen,Medium
hostel d water supply is good 💧,Water Supply,Hostel D,Low
transport from town to campus is good 🚌,Transport,Campus (General),Medium
hostel a rooms r too noisy 🗣️,Hostel,Hostel A,Low
library is nt open on sundays 📆,Library,Library,Medium
wifi in hostel b is stable 📊,IT / Network,Hostel B,High
canteen food is good 🍔,Mess / Canteen,Mess / Canteen,Low
lab equipment in hostel c is good 🎯,IT / Network,Laboratory,Medium
hostel d bathroom is dirty 🚽,Hostel,Hostel D,High
campus is beautiful 🌳,General,Campus (General),Low
sports ground is nt maintained 🏋️,General,Sports Ground,Medium
auditorium is big 🎤,Civil / Infrastructure,Auditorium,Medium
hostel a lift is working 🚨,Civil / Infrastructure,Hostel A,Low
library staff is helpful 🤝,Library,Library,Medium
wifi in hostel c is fast 📈,IT / Network,Hostel C,Medium
hostel b rooms r too small 🤯,Hostel,Hostel B,Low
mess / canteen is clean 🚮,Mess / Canteen,Mess / Canteen,Medium
hostel d rooms r too hot in summer,Hostel,Hostel D,High
transport from campus to town is good,Transport,Campus (General),Medium
hostel a water supply is good,Water Supply,Hostel A,Low
prof is teachin well,General,Main Building,Medium
library is open on sundays,Library,Library,Low
wifi in main building is slow,IT / Network,Main Building,Medium
hostel b bathroom is clean,Hostel,Hostel B,Low
canteen food is expensive,Mess / Canteen,Mess / Canteen,High
lab equipment in hostel d is good,IT / Network,Laboratory,Medium
hostel c rooms r too cold in winter,Hostel,Hostel C,Low
campus is nt beautiful,General,Campus (General),Medium
sports ground is well maintained,General,Sports Ground,Low
auditorium ac is workin,Civil / Infrastructure,Auditorium,Medium
hostel a lift is broken,Civil / Infrastructure,Hostel A,High
library staff is nt helpful,Library,Library,Low
wifi in hostel b is slow,IT / Network,Hostel B,Medium
hostel c rooms r too noisy,Hostel,Hostel C,Low
mess / canteen is crowded,Mess / Canteen,Mess / Canteen,Medium
hostel d water supply is low,Water Supply,Hostel D,High
transport from town to campus is bad,Transport,Campus (General),Medium
hostel a rooms r too small,Hostel,Hostel A,Low
library is nt open on sundays,Library,Library,Medium
wifi in hostel c is stable,IT / Network,Hostel C,Medium
canteen food is good,Mess / Canteen,Mess / Canteen,Low
lab equipment in hostel b is broken,IT / Network,Laboratory,High
hostel d bathroom is clean,Hostel,Hostel D,Low
campus is beautiful,General,Campus (General),Medium
sports ground is nt maintained,General,Sports Ground,Low
auditorium is small,Civil / Infrastructure,Auditorium,Medium
hostel a lift is working,Civil / Infrastructure,Hostel A,Low
library staff is helpful,Library,Library,Medium
wifi in hostel b is fast,IT / Network,Hostel B,Medium
hostel c rooms r too hot in summer,Hostel,Hostel C,Low
mess / canteen is clean,Mess / Canteen,Mess / Canteen,Medium
hostel d rooms r too cold in winter,Hostel,Hostel D,High
transport from campus to town is bad,Transport,Campus (General),Medium
hostel a water supply is low,Water Supply,Hostel A,Low
prof is nt teachin well,General,Main Building,High
library is open on sundays,Library,Library,Medium
wifi in main building is fast,IT / Network,Main Building,Medium
hostel b bathroom is dirty,Hostel,Hostel B,Low
canteen food is expensive,Mess / Canteen,Mess / Canteen,High
lab equipment in hostel c is good,IT / Network,Laboratory,Medium
hostel d rooms r too noisy,Hostel,Hostel D,Low
campus is nt clean,General,Campus (General),Medium
sports ground is well maintained,General,Sports Ground,Low
auditorium ac is nt workin,Civil / Infrastructure,Auditorium,Medium
hostel a lift is broken,Civil / Infrastructure,Hostel A,High
library staff is nt helpful,Library,Library,Low
wifi in hostel c is slow,IT / Network,Hostel C,Medium
hostel b rooms r too small,Hostel,Hostel B,Low
mess / canteen is crowded,Mess / Canteen,Mess / Canteen,Medium
hostel d water supply is good,Water Supply,Hostel D,Low
transport from town to campus is good,Transport,Campus (General),Medium
hostel a rooms r too hot in summer,Hostel,Hostel A,Low
library is nt open on sundays,Library,Library,Medium
wifi in hostel b is stable,IT / Network,Hostel B,Medium
canteen food is good,Mess / Canteen,Mess / Canteen,Low
lab equipment in hostel d is broken,IT / Network,Laboratory,High
hostel c bathroom is dirty,Hostel,Hostel C,Low
campus is beautiful,General,Campus (General),Medium
sports ground is nt maintained,General,Sports Ground,Low
auditorium is big,Civil / Infrastructure,Auditorium,Medium
hostel a lift is working,Civil / Infrastructure,Hostel A,Low
library staff is helpful,Library,Library,Medium
wifi in hostel c is fast,IT / Network,Hostel C,Medium
hostel b rooms r too cold in winter,Hostel,Hostel B,Low
mess / canteen is clean,Mess / Canteen,Mess / Canteen,Medium
hostel d rooms r too small,Hostel,Hostel D,High
transport from campus to town is good,Transport,Campus (General),Medium
hostel a water supply is good,Water Supply,Hostel A,Low
prof is teachin well,General,Main Building,Medium
library is open on sundays,Library,Library,Low
wifi in main building is slow,IT / Network,Main Building,Medium
hostel b bathroom is clean,Hostel,Hostel B,Low
canteen food is expensive,Mess / Canteen,Mess / Canteen,High
lab equipment in hostel b is good,IT / Network,Laboratory,Medium
hostel c rooms r too noisy,Hostel,Hostel C,Low
campus is nt beautiful,General,Campus (General),Medium
sports ground is well maintained,General,Sports Ground,Low
auditorium ac is workin,Civil / Infrastructure,Auditorium,Medium
hostel a lift is broken,Civil / Infrastructure,Hostel A,High
library staff is nt helpful,Library,Library,Low
wifi in hostel d is stable,IT / Network,Hostel D,Medium
hostel b rooms r too hot in summer,Hostel,Hostel B,Low
mess / canteen is crowded,Mess / Canteen,Mess / Canteen,Medium
hostel c water supply is low,Water Supply,Hostel C,High
transport from town to campus is bad,Transport,Campus (General),Medium
hostel a rooms r too cold in winter,Hostel,Hostel A,Low
library is nt open on sundays,Library,Library,Medium
wifi in hostel c is slow,IT / Network,Hostel C,Medium
canteen food is good,Mess / Canteen,Mess / Canteen,Low
lab equipment in hostel a is broken,IT / Network,Laboratory,High
hostel d bathroom is clean,Hostel,Hostel D,Low
campus is beautiful,General,Campus (General),Medium
sports ground is nt maintained,General,Sports Ground,Low
auditorium is small,Civil / Infrastructure,Auditorium,Medium
hostel a lift is working,Civil / Infrastructure,Hostel A,Low
library staff is helpful,Library,Library,Medium
wifi in hostel b is fast,IT / Network,Hostel B,Medium
hostel c rooms r too small,Hostel,Hostel C,Low
mess / canteen is clean,Mess / Canteen,Mess / Canteen,Medium
hostel d rooms r too noisy,Hostel,Hostel D,High
transport from campus to town is bad,Transport,Campus (General),Medium
hostel a water supply is low,Water Supply,Hostel A,Low
prof is nt teachin well,General,Main Building,High
library is open on sundays,Library,Library,Medium
wifi in main building is fast,IT / Network,Main Building,Medium
hostel b bathroom is dirty,Hostel,Hostel B,Low
canteen food is expensive,Mess / Canteen,Mess / Canteen,High
lab equipment in hostel c is good,IT / Network,Laboratory,Medium
hostel d rooms r too hot in summer,Hostel,Hostel D,Low
campus is nt clean,General,Campus (General),Medium
sports ground is well maintained,General,Sports Ground,Low
auditorium ac is nt workin,Civil / Infrastructure,Auditorium,Medium
hostel a lift is broken,Civil / Infrastructure,Hostel A,High
library staff is nt helpful,Library,Library,Low
wifi in hostel c is stable,IT / Network,Hostel C,Medium
hostel b rooms r too cold in winter,Hostel,Hostel B,Low
mess / canteen is crowded,Mess / Canteen,Mess / Canteen,Medium
hostel d water supply is good,Water Supply,Hostel D,Low
transport from town to campus is good,Transport,Campus (General),Medium
hostel a rooms r too small,Hostel,Hostel A,Low
library is nt open on sundays,Library,Library,Medium
wifi in hostel b is slow,IT / Network,Hostel B,Medium
canteen food is good,Mess / Canteen,Mess / Canteen,Low
lab equipment in hostel d is broken,IT / Network,Laboratory,High
hostel c bathroom is dirty,Hostel,Hostel C,Low
campus is beautiful,General,Campus (General),Medium
sports ground is nt maintained,General,Sports Ground,Low
auditorium is big,Civil / Infrastructure,Auditorium,Medium
hostel a lift is working,Civil / Infrastructure,Hostel A,Low
library staff is helpful,Library,Library,Medium
wifi in hostel c is fast,IT / Network,Hostel C,Medium
hostel b rooms r too noisy,Hostel,Hostel B,Low
mess / canteen is clean,Mess / Canteen,Mess / Canteen,Medium
hostel d rooms r too cold in winter,Hostel,Hostel D,High
transport from campus to town is good,Transport,Campus (General),Medium
hostel a water supply is good,Water Supply,Hostel A,Low
prof is teachin well,General,Main Building,Medium
library is open on sundays,Library,Library,Low
wifi in main building is slow,IT / Network,Main Building,Medium
hostel b bathroom is clean,Hostel,Hostel B,Low
canteen food is expensive,Mess / Canteen,Mess / Canteen,High
lab equipment in hostel b is good,IT / Network,Laboratory,Medium
hostel c rooms r too hot in summer,Hostel,Hostel C,Low
campus is nt beautiful,General,Campus (General),Medium
sports ground is well maintained,General,Sports Ground,Low
auditorium ac is workin,Civil / Infrastructure,Auditorium,Medium
hostel a lift is broken,Civil / Infrastructure,Hostel A,High
library staff is nt helpful,Library,Library,Low
wifi in hostel d is stable,IT / Network,Hostel D,Medium
hostel b rooms r too small,Hostel,Hostel B,Low
mess / canteen is crowded,Mess / Canteen,Mess / Canteen,Medium
hostel c water supply is low,Water Supply,Hostel C,High
transport from town to campus is bad,Transport,Campus (General),Medium
hostel a rooms r too cold in winter,Hostel,Hostel A,Low
library is nt open on sundays,Library,Library,Medium
wifi in hostel c is slow,IT / Network,Hostel C,Medium
canteen food is good,Mess / Canteen,Mess / Canteen,Low
lab equipment in hostel a is broken,IT / Network,Laboratory,High
hostel d bathroom is clean,Hostel,Hostel D,Low
campus is beautiful,General,Campus (General),Medium
sports ground is nt maintained,General,Sports Ground,Low
auditorium is small,Civil / Infrastructure,Auditorium,Medium
hostel a lift is working,Civil / Infrastructure,Hostel A,Low
library staff is helpful,Library,Library,Medium
wifi in hostel b is fast,IT / Network,Hostel B,Medium
hostel c rooms r too noisy,Hostel,Hostel C,Low
mess / canteen is clean,Mess / Canteen,Mess / Canteen,Medium
hostel d rooms r too hot in summer,Hostel,Hostel D,High
transport from campus to town is bad,Transport,Campus (General),Medium
hostel a water supply is low,Water Supply,Hostel A,Low
prof is nt teachin well,General,Main Building,High
library is open on sundays,Library,Library,Medium
wifi in main building is fast,IT / Network,Main Building,Medium
hostel b bathroom is dirty,Hostel,Hostel B,Low
canteen food is expensive,Mess / Canteen,Mess / Canteen,High
lab equipment in hostel c is good,IT / Network,Laboratory,Medium
hostel d rooms r too cold in winter,Hostel,Hostel D,Low
campus is nt clean,General,Campus (General),Medium
sports ground is well maintained,General,Sports Ground,Low
auditorium ac is nt workin,Civil / Infrastructure,Auditorium,Medium
hostel a lift is broken,Civil / Infrastructure,Hostel A,High
library staff is nt helpful,Library,Library,Low
wifi in hostel c is stable,IT / Network,Hostel C,Medium
hostel b rooms r too hot in summer,Hostel,Hostel B,Low
mess / canteen is crowded,Mess / Canteen,Mess / Canteen,Medium
hostel d water supply is good,Water Supply,Hostel D,Low
transport from town to campus is good,Transport,Campus (General),Medium
hostel a rooms r too small,Hostel,Hostel A,Low
library is nt open on sundays,Library,Library,Medium
wifi in hostel b is slow,IT / Network,Hostel B,Medium
canteen food is good,Mess / Canteen,Mess / Canteen,Low
lab equipment in hostel d is broken,IT / Network,Laboratory,High
hostel c bathroom is dirty,Hostel,Hostel C,Low
campus is beautiful,General,Campus (General),Medium
